n,InsertIter,InsertRec,QuickMedIter,QuickRandIter,QuickFirstIter,QuickMedRec,QuickRandRec,QuickFirstRec
1000,0.8779,0.9999,0.0055,0.0541,0.0047,0.0132,0.0065,0.0063
2500,5.4501,6.2178,0.0044,0.0050,0.0034,0.0296,0.0106,0.0294
5000,22.0266,24.9956,0.0024,0.0049,0.0022,0.0419,0.0260,0.0634
7500,49.7834,55.7522,0.0017,0.0047,0.0018,0.0473,0.0562,0.0773
10000,88.2706,98.8840,0.0017,0.0045,0.0018,0.1002,0.0184,0.0818
25000,552.5550,604.1360,0.0024,0.0053,0.0022,0.2976,0.3444,0.3080
50000,2197.9968,2393.3075,0.0038,0.0063,0.0030,0.4158,0.5247,0.6634
75000,4960.5383,5350.0318,0.0042,0.0065,0.0036,0.7242,0.5176,0.9084
100000,8826.8784,9497.6173,0.0049,0.0072,0.0042,0.8382,0.7572,1.3543
250000,55108.7537,59445.8034,0.0287,0.0127,0.0092,6.2376,2.3028,2.8736
500000,220254.9220,237790.2139,0.0311,0.0217,0.0175,5.5162,5.5953,4.9363
750000,495525.4804,534951.6863,0.0352,0.0304,0.0262,7.9105,4.4778,9.0660
1000000,880694.3137,951092.7076,0.0441,0.0403,0.0348,10.7283,2.7867,16.7512
